movie,year,imdb,metascore,votes
About Schmidt,-2002,7.1,85,120556
John Q,-2002,7.1,30,120296
My Big Fat Greek Wedding,-2002,6.5,62,117235
The Time Machine,-2002,6,42,116637
Mou gaan dou,-2002,8,75,115628
The Lord of the Rings: The Two Towers,-2002,8.7,87,1436068
Catch Me If You Can,-2002,8.1,75,787345
The Pianist,-2002,8.5,85,698818
Cidade de Deus,-2002,8.6,79,680298
Spider-Man,-2002,7.3,73,670332
Star Wars: Episode II - Attack of the Clones,-2002,6.5,54,620289
Harry Potter and the Chamber of Secrets,-2002,7.4,63,529333
The Bourne Identity,-2002,7.9,68,495177
Minority Report,-2002,7.6,80,493911
Ice Age,-2002,7.5,60,427742
Gangs of New York,-2002,7.5,72,393189
28 Days Later...,-2002,7.6,73,366441
Men in Black II,-2002,6.2,49,334103
Signs,-2002,6.7,59,329562
The Ring,-2002,7.1,57,312514
Equilibrium,-2002,7.4,33,306364
The Transporter,-2002,6.8,51,279587
Insomnia,-2002,7.2,78,265694
Panic Room,-2002,6.8,65,250025
Phone Booth,-2002,7,56,245901
Red Dragon,-2002,7.2,60,243366
8 Mile,-2002,7.1,77,242505
Resident Evil,-2002,6.7,33,241656
Road to Perdition,-2002,7.7,72,240568
Chicago,-2002,7.1,81,210809
Die Another Day,-2002,6.1,56,200236
A Walk to Remember,-2002,7.4,35,195053
Blade II,-2002,6.7,52,194977
Austin Powers in Goldmember,-2002,6.2,62,191401
Adaptation.,-2002,7.7,83,172248
Ying xiong,-2002,7.9,85,171075
xXx,-2002,5.9,48,170812
About a Boy,-2002,7,75,167685
25th Hour,-2002,7.6,67,166763
Lilo & Stitch,-2002,7.2,73,161712
Punch-Drunk Love,-2002,7.3,78,142366
Bowling for Columbine,-2002,7.9,72,137986
Mr. Deeds,-2002,5.8,24,132644
The Scorpion King,-2002,5.5,45,127815
We Were Soldiers,-2002,7.2,65,126870
The Count of Monte Cristo,-2002,7.8,61,125827
Reign of Fire,-2002,6.2,39,123729
The Hours,-2002,7.5,80,121518
About Schmidt,-2002,7.1,85,120556
John Q,-2002,7.1,30,120296
My Big Fat Greek Wedding,-2002,6.5,62,117235
The Time Machine,-2002,6,42,116637
Mou gaan dou,-2002,8,75,115628
The Lord of the Rings: The Return of the King,-2003,8.9,94,1589479
Pirates of the Caribbean: The Curse of the Black Pearl,-2003,8,63,995697
Kill Bill: Vol. 1,-2003,8.1,69,967525
Finding Nemo,-2003,8.1,90,919671
The Matrix Reloaded,-2003,7.2,62,501825
X2,-2003,7.4,68,500835
Oldeuboi,-2003,8.4,77,494841
The Matrix Revolutions,-2003,6.8,47,435859
Love Actually,-2003,7.6,55,413078
Mystic River,-2003,7.9,84,407965
Big Fish,-2003,8,58,405164
Lost in Translation,-2003,7.7,89,397263
The Last Samurai,-2003,7.7,55,388274
Terminator 3: Rise of the Machines,-2003,6.3,66,369311
Bruce Almighty,-2003,6.8,46,362736
The Italian Job,-2003,7,68,334875
The School of Rock,-2003,7.1,82,259379
Underworld,-2003,7,42,247778
Hulk,-2003,5.6,54,247398
2 Fast 2 Furious,-2003,5.9,38,244417
Bad Boys II,-2003,6.6,38,225236
Identity,-2003,7.3,64,220402
21 Grams,-2003,7.7,70,220023
Old School,-2003,7.1,54,210303
Elf,-2003,6.9,64,210068
Daredevil,-2003,5.3,42,203241
How to Lose a Guy in 10 Days,-2003,6.4,45,202695
Anger Management,-2003,6.3,52,199220
Master and Commander: The Far Side of the World,-2003,7.4,81,196553
American Wedding,-2003,6.3,43,190181
The League of Extraordinary Gentlemen,-2003,5.8,30,163380
Once Upon a Time in Mexico,-2003,6.4,56,150689
Final Destination 2,-2003,6.2,38,148098
Johnny English,-2003,6.2,51,143715
Cold Mountain,-2003,7.2,73,137109
S.W.A.T.,-2003,6,45,135427
Good Bye Lenin!,-2003,7.7,68,134681
Scary Movie 3,-2003,5.5,49,134257
Dogville,-2003,8,60,133644
Monster,-2003,7.3,74,131457
Bad Santa,-2003,7,70,131301
The Recruit,-2003,6.6,56,127455
Lara Croft Tomb Raider: The Cradle of Life,-2003,5.5,43,127361
The Texas Chainsaw Massacre,-2003,6.2,38,127278
Salinui chueok,-2003,8.1,82,124146
Matchstick Men,-2003,7.3,61,121393
Freaky Friday,-2003,6.1,70,121233
Charlie's Angels: Full Throttle,-2003,4.9,48,118431
The Lord of the Rings: The Return of the King,-2003,8.9,94,1589479
Pirates of the Caribbean: The Curse of the Black Pearl,-2003,8,63,995697
Kill Bill: Vol. 1,-2003,8.1,69,967525
Finding Nemo,-2003,8.1,90,919671
The Matrix Reloaded,-2003,7.2,62,501825
X2,-2003,7.4,68,500835
Oldeuboi,-2003,8.4,77,494841
The Matrix Revolutions,-2003,6.8,47,435859
Love Actually,-2003,7.6,55,413078
Mystic River,-2003,7.9,84,407965
Big Fish,-2003,8,58,405164
Lost in Translation,-2003,7.7,89,397263
The Last Samurai,-2003,7.7,55,388274
Terminator 3: Rise of the Machines,-2003,6.3,66,369311
Bruce Almighty,-2003,6.8,46,362736
The Italian Job,-2003,7,68,334875
The School of Rock,-2003,7.1,82,259379
Underworld,-2003,7,42,247778
Hulk,-2003,5.6,54,247398
2 Fast 2 Furious,-2003,5.9,38,244417
Bad Boys II,-2003,6.6,38,225236
Identity,-2003,7.3,64,220402
21 Grams,-2003,7.7,70,220023
Old School,-2003,7.1,54,210303
Elf,-2003,6.9,64,210068
Daredevil,-2003,5.3,42,203241
How to Lose a Guy in 10 Days,-2003,6.4,45,202695
Anger Management,-2003,6.3,52,199220
Master and Commander: The Far Side of the World,-2003,7.4,81,196553
American Wedding,-2003,6.3,43,190181
The League of Extraordinary Gentlemen,-2003,5.8,30,163380
Once Upon a Time in Mexico,-2003,6.4,56,150689
Final Destination 2,-2003,6.2,38,148098
